"","symbol","dsub_logFC","dsub_pv","time","dd_logFC","dd_pv"
"156","Zfp280d",-0.220972045443003,0.0296,70,-0.287339604317692,0.0056
"157","Txndc11",-0.202401293592267,0.0298,70,NA,NA
"158","Dhx16",-0.29041404114576,0.0298,70,-0.300306389009881,0.0304
"159","Nxt2",0.30773497277646,0.0304,70,0.329157381126456,0.0296
"160","Atg10",0.2164753672096,0.0312,70,0.338966046860614,0.0024
"161","Tmem223",0.267045404606113,0.032,70,0.25672426050894,0.0432
"162","Birc5",-0.365423142418966,0.0322,70,NA,NA
"163","Slc6a12",1.398829299735,0.0322,70,1.33118549032509,0.0496
"164","Enpp6",0.436995628787871,0.033,70,0.484827624112433,0.0252
"165","Stn1",0.317216192443636,0.0334,70,0.492847898347524,0.002
"166","Gab2",0.267535757641161,0.0344,70,0.294533811437363,0.0344
"167","Pex3",0.280247726164973,0.0368,70,0.281147739240788,0.0424
"168","Fuom",0.291001721130217,0.0372,70,0.298459593870398,0.0382
"169","Nudt14",0.257905656479616,0.0376,70,0.306585436386698,0.0156
"170","Anxa4",-0.226950182492343,0.0382,70,NA,NA
"171","Strip2",0.460384810329229,0.0382,70,0.459284332791173,0.045
"172","Olfr177",-0.511138674360046,0.0386,70,NA,NA
"174","Crispld2",1.02429424880692,0.0406,70,1.38839728071969,0.0122
"175","Gas1",0.306236263836846,0.0418,70,0.506277714967525,0.0014
"176","Uqcc2",0.205021310490135,0.042,70,0.245655477067171,0.0168
"177","Homez",0.222877871316738,0.042,70,0.237074339950532,0.0398
"178","Ret",0.455726984848495,0.0426,70,0.499260653252778,0.042
"179","Crybg2",-0.344851098291235,0.0432,70,-0.352357740126968,0.0422
"180","Scgb3a1",1.55389977528346,0.0436,70,1.62989067876523,0.0476
"181","Gfm1",0.255889024469805,0.044,70,0.321396789066051,0.0214
"182","Zfp943",0.212036402269336,0.044,70,0.339773270997545,0.0022
"183","Acta2",0.976024252291174,0.0442,70,1.01438742481347,0.0456
"184","Dhrs13",0.594660892243899,0.045,70,0.66052884388143,0.038
"185","Lmcd1",0.461272433465913,0.0452,70,0.624948670241645,0.0134
"186","Kcns3",-0.555642464642058,0.0478,70,-0.677957342441376,0.0192
"187","Acot13",0.241970460564863,0.0488,70,0.323790164217773,0.016
"188","Txk",-0.304813874222678,0.0488,70,NA,NA
"189","Tmem268",0.388974470357045,0.0492,70,0.487302933660242,0.019
"190","Idnk",0.254340175812186,0.0496,70,0.322221286597198,0.0226
"191","Phrf1",NA,NA,70,-0.223741412682184,0.0088
"192","Sfmbt1",NA,NA,70,-0.299405353603665,0.0102
"193","Rad54l2",NA,NA,70,-0.225480356211452,0.0102
"194","Lman2l",NA,NA,70,-0.203803612969803,0.0176
"195","Aff3",NA,NA,70,-0.242052732021807,0.0196
"196","Tnfrsf10b",NA,NA,70,-0.290932214493014,0.027
"197","Olfr354",NA,NA,70,-0.314342263442007,0.0466
"198","Trpc4",0.656088483927021,0,25,0.388682291924741,0.0066
"199","Msl3",-0.50483913534632,0,25,-0.401346148406191,6e-04
"200","Fam207a",-0.369879256589836,0,25,-0.206707201836899,0.0272
"201","Olfr1262",0.835230731011409,0,25,0.451843061128489,0.0406
"202","D16Ertd472e",-0.775817846811404,2e-04,25,-0.500282900974673,0.012
"203","Zfp367",-0.732026985284826,2e-04,25,-0.384737373359208,0.0484
"204","Cfap45",0.386452381582628,4e-04,25,0.292278883993035,0.0078
"205","Etv6",-0.608106955414701,4e-04,25,-0.515874563067636,0.004
"206","Sema4b",0.362643141321992,4e-04,25,0.20103648814444,0.0386
"207","Enpp4",0.387687328761093,6e-04,25,0.206352207243481,0.0464
"208","Cited4",-1.2037142994237,6e-04,25,-0.858391808125503,0.0142
"209","Cdc23",0.362048469488915,0.0012,25,0.289209224653028,0.0078
"210","Gask1b",0.603596712311155,0.0012,25,0.431497844908805,0.014
"211","Foxo3",-0.477936442640662,0.0012,25,-0.285636535758313,0.0252
"212","Ripor2",0.281633014232097,0.0014,25,0.249915392857583,0.006
"213","Plcxd3",0.792516185491187,0.0018,25,0.488538903909888,0.0338
"214","Mfsd4b5",0.499335551247705,0.002,25,0.391212503340093,0.01
